"x","y","pais","2019"
"177.975427","-17.826099","Fiji","20394"
"34.959183","-6.051866","Tanzania","3131"
"-12.630304","23.967592","W. Sahara","717795.3"
"-101.9107","60.324287","Canada","7334"
"-97.482602","39.538479","United States of America","158874.79"
"68.685548","49.054149","Kazakhstan","13647"
"64.005429","41.693603","Uzbekistan","2558"
"143.910216","-5.695285","Papua New Guinea","203"
"101.892949","-0.954404","Indonesia","1599362.272"
"-64.173331","-33.501159","Argentina","426157.272"
"-72.318871","-38.151771","Chile","163106"
"23.458829","-1.858167","Dem. Rep. Congo","2133"
"45.19238","3.568925","Somalia","743"
"37.907632","0.549043","Kenya","21930.583128356"
"29.260657","16.330746","Sudan","684170"
"18.645041","15.142959","Chad","330226"
"-72.224051","19.263784","Haiti","28974"
"-70.653998","19.104137","Dominican Rep.","9035"
"44.686469","58.249357","Russia","137206.817"
"-77.146688","26.401789","Bahamas","3456"
"-58.738602","-51.608913","Falkland Is.","4105"
"9.679975","61.357092","Norway","68351"
"-39.335251","74.319387","Greenland","10111"
"69.122136","-49.303721","Fr. S. Antarctic Lands","57321"
"125.854679","-8.803705","Timor-Leste","47733"
"23.665734","-29.708776","South Africa","108"
"28.246639","-29.480158","Lesotho","35741"
"-102.289448","23.919988","Mexico","141329"
"-55.966942","-32.961127","Uruguay","3495"
"-49.55945","-12.098687","Brazil","49931"
"-64.593433","-16.666015","Bolivia","814301"
"-72.90016","-12.976679","Peru","32058"
"-73.174347","3.373111","Colombia","14091"
"-80.352106","8.72198","Panama","5067"
"-84.077922","10.0651","Costa Rica","6533"
"-85.069347","12.670697","Nicaragua","3058"
"-86.887604","14.794801","Honduras","1215983"
"-88.890124","13.685371","El Salvador","566402"
"-90.497134","14.982133","Guatemala","225755"
"-88.712962","17.202068","Belize","312321"
"-64.599381","7.182476","Venezuela","143964"
"-58.942643","5.124317","Guyana","4963752"
"-55.91094","4.143987","Suriname","16616"
"2.552275","46.696113","France","2336"
"-78.188375","-1.259076","Ecuador","7532"
"-66.481065","18.234668","Puerto Rico","4990.79"
"-77.318767","18.137124","Jamaica","371985"
"-77.975855","21.334024","Cuba","20395"
"29.925444","-18.91164","Zimbabwe","10205"
"24.179216","-22.102634","Botswana","44878"
"17.108166","-20.575298","Namibia","215238.58312836"
"-14.778586","15.138125","Senegal","7146"
"-2.038455","18.692713","Mali","34058"
"-9.740299","19.587062","Mauritania","32114"
"2.352018","10.324775","Benin","3326"
"9.504356","17.446195","Niger","44051"
"7.50322","9.439799","Nigeria","896647.181"
"12.473488","4.585041","Cameroon","46560"
"1.058113","8.80722","Togo","3048"
"-1.036941","7.717639","Ghana","34466"
"-5.568618","7.49139","C̫te d'Ivoire","7062"
"-10.016402","10.618516","Guinea","76049"
"-14.52413","12.163712","Guinea-Bissau","7629160"
"-9.460379","6.447177","Liberia","6098318"
"-11.763677","8.617449","Sierra Leone","10575048"
"-1.36388","12.673048","Burkina Faso","1073332.332"
"20.906897","6.989681","Central African Rep.","9217856.065"
"15.9005","0.142331","Congo","50575"
"11.835939","-0.437739","Gabon","111785"
"8.9902","2.333","Eq. Guinea","4882120.543"
"26.395298","-14.660804","Zambia","1111"
"33.608082","-13.386737","Malawi","677578.545"
"37.83789","-13.94323","Mozambique","22"
"31.467264","-26.533676","eSwatini","119542"
"17.984249","-12.182762","Angola","5900296.733"
"29.917086","-3.332836","Burundi","545738.122"
"34.847915","30.911148","Israel","131089"
"35.992892","34.133368","Lebanon","25859"
"46.704241","-18.628288","Madagascar","598374"
"35.291341","32.047431","Palestine",""
"-14.998318","13.641721","Gambia",""
"9.007881","33.687263","Tunisia",""
"2.808241","27.397406","Algeria","1061464"
"36.375991","30.805025","Jordan","6587"
"54.547256","23.466285","United Arab Emirates","15617"
"51.143509","25.237383","Qatar","31058"
"47.313999","29.413628","Kuwait","12"
"43.26181","33.09403","Iraq","1136"
"57.336553","22.120427","Oman","12345"
"166.908762","-15.37153","Vanuatu","7423"
"104.50487","12.647584","Cambodia","151848"
"101.073198","15.45974","Thailand","444"
"102.533912","19.431821","Laos","552"
"95.804497","21.573855","Myanmar","2623"
"105.387292","21.715416","Vietnam","943"
"126.444516","39.885252","North Korea","1578"
"128.129504","36.384924","South Korea","23991370.588128"
"104.150405","45.997488","Mongolia","242173"
"79.358105","22.686852","India","13146"
"89.684963","24.214956","Bangladesh","417461.09"
"90.040294","27.536685","Bhutan","27711"
"83.639914","28.297925","Nepal","90000"
"68.545632","29.328389","Pakistan","213664"
"66.496586","34.164262","Afghanistan","14396699.915128"
"72.587276","38.199835","Tajikistan","15584884.005128"
"74.532637","41.66854","Kyrgyzstan","1188184.09"
"58.676647","39.855246","Turkmenistan","523292.79"
"54.931495","32.166225","Iran","808265"
"38.277783","35.006636","Syria","664891.3"
"44.800564","40.459077","Armenia","226"
"19.01705","65.85918","Sweden","1209803"
"28.417701","53.821888","Belarus","552131"
"32.140865","49.724739","Ukraine","967456"
"19.490468","51.990316","Poland","186006"
"14.130515","47.518859","Austria","60540"
"19.447867","47.086841","Hungary","35823"
"28.487904","47.434999","Moldova","49276"
"24.972624","45.733237","Romania","260599"
"24.089932","55.103703","Lithuania","31312"
"25.458723","57.066872","Latvia","36550"
"25.867126","58.724865","Estonia","1018436"
"9.678348","50.961733","Germany","89436"
"25.15709","42.508785","Bulgaria","138192"
"21.72568","39.492763","Greece","6466"
"34.508268","39.345388","Turkey","14850"
"20.11384","40.654855","Albania","4388"
"16.37241","45.805799","Croatia","332145"
"7.463965","46.719114","Switzerland","549454"
"6.07762","49.733732","Luxembourg","50959"
"4.800448","50.785392","Belgium","2450088"
"5.61144","52.422211","Netherlands","16359"
"-8.271754","39.606675","Portugal","26942"
"-3.464718","40.090953","Spain","55332"
"-7.798588","53.078726","Ireland","11339"
"165.084004","-21.064697","New Caledonia","412412"
"159.170468","-8.029548","Solomon Is.","2826537.5831284"
"172.787","-39.759","New Zealand","533290.3"
"134.04972","-24.129522","Australia","204534.3"
"80.704823","7.581097","Sri Lanka","885"
"106.337289","32.498178","China","33050"
"120.868204","23.652408","Taiwan","3015516.79"
"11.076907","44.732482","Italy","14075535.422"
"9.018163","55.966965","Denmark","1203012"
"-2.116346","54.402739","United Kingdom","11156939.272"
"-18.673711","64.779286","Iceland","2506"
"47.210994","40.402387","Azerbaijan","51938"
"43.735724","41.870087","Georgia","61692"
"122.465","11.198","Philippines","28685"
"113.83708","2.528667","Malaysia","3000"
"114.551943","4.448298","Brunei","91254"
"14.915312","46.06076","Slovenia","3"
"27.276449","63.252361","Finland","11899"
"19.049868","48.734044","Slovakia","10600"
"15.377555","49.882364","Czechia","27199"
"38.285566","15.787401","Eritrea","1844219.272"
"138.44217","36.142538","Japan","605632"
"-60.146394","-21.674509","Paraguay","1967"
"45.874383","15.328226","Yemen","13871001.122"
"44.6996","23.806908","Saudi Arabia","34000"
"35.885455","-79.843222","Antarctica","300"
"33.692434","35.216071","N. Cyprus","19317"
"33.084182","34.913329","Cyprus","64320"
"-7.187296","31.650723","Morocco","637401"
"29.445837","26.186173","Egypt","7192"
"18.011015","26.638944","Libya","8310"
"39.0886","8.032795","Ethiopia","9302"
"42.498825","11.976343","Djibouti","12178"
"46.731595","9.443889","Somaliland","5566"
"32.948555","1.972589","Uganda","14937"
"30.103894","-1.897196","Rwanda","1354"
"18.06841","44.091051","Bosnia and Herz.","498878"
"21.555839","41.558223","North Macedonia","11315014"
"20.787989","44.189919","Serbia","1806"
"19.143727","42.803101","Montenegro","31311"
"20.860719","42.593587","Kosovo","66644"
"-60.9184","10.9989","Trinidad and Tobago","68734"
"30.390151","7.230477","S. Sudan","33112"
