"pais","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Aruba","","","","","","","","","","","","","","","","","","223502","274280","","",""
"","14963609","14546112","14462573","15802323","17562611","20661751","22039609","23295972","23988552","23800085","30374164.935204","33507824.272435","35838679.014801","35112457.818","36350758.945447","39154692","41553429","45423814.08","52613964.077706","54851421.285204","19166036.418","24057585.264"
"Afganistán","149705","","","","","","","","","","1999127","2279341.1795286","1737962.1264066","2044188","2209428","1929907","1917924","1647425","1125367","1066747.3561925","449041.025","293212.994"
"","2949248","2627404","2072438","2081206","2604956","","","","","","7817344.2026979","9140452.1285985","9570161.787567","8677884","8030237.1696506","8696300","8129874","8837017","12337766.282301","11384912.635031","5328945.184","7425487.428"
"Angola","235448","193317","189619","198253","222032","239795","262666","277361","283887","274869","1010194","987798","1132424","1321872","1409952","1244491","1482546","1375523","1516628","1436959","356695","311488"
"Albania","136622","146273","137569","158888","179543","195702","213315","238913","243691","231263","768533","829778.92387071","814339.7302787","865848","151632","","26634","204090","303137","307741","124714","193259"
"Andorra","","","","","","","","","","","","","","","","","","","","","",""
"El mundo árabe","45723758","46769231","49871837","52465002","60950501","43608649","47875367","51722644","53542019","95372047","126796491.87913","135837641.38979","152014159.66127","166209279.14078","181627311.07691","195957046","214318723","223496214.05","232670166.88982","246284712.90189","78203120.459","100893015.318"
"Emiratos Árabes Unidos","6893085","7675845","9667005","11609840","14314326","","","","","31761631","44948143.849412","50342891.802869","59948766.697648","68151865","75608196","84343562","91763598","95306195","95758342","93995208.09","26116897","28422616"
"Argentina","8915627","5808770","5662905","6036360","6795484","6938436","6611915","7036784","6147290","5694547","9025035.3118736","8590839.8497729","9375669.7396375","11951276.822393","12121912.818","14245183","15076354","16749271","18084553","19461377","3680874","6708097"
"Armenia","298232","369164","407777","366581","509904","555795","605817","560626","623688","653320","704753","392312","364733","45000","0","","","","53259","193668","54940","179200"
"Samoa Americana","","","","","","","","","","","49772.788695371","50641.722772277","56096.979676915","72240","76944","","","","","","",""
"Antigua y Barbuda","1426114","1369069","1286925","1428487","714000","778260","754912","800207","813010","747969","1554309","1424420.1553899","1310276.4134174","1218000","1216152","1039810","1042929","590517","580174.15683482","526333.99508055","356","40633"
"Australia","32577569","33477398","39021581","41386432","41596552","44657324","46951775","48728837","51488427","50026967","60640913","63360310.337766","66355274","68197955","68123237.669317","69779346","72446421","74257326","75667645.034751","76850596.719","23346254","24572955"
"Austria","6641875","6550376","7070344","6902780","7619372","8037890","8785116","9140909","9140680","8520740","13493793","14088251.664057","14518841.052972","15037454","15210489","14718641","14724774","16171640","12935505","46476602","13285414","18901048"
"Azerbaiyán","545800","543800","575300","683700","1007000","1134300","1253400","1440700","756338","839514","796698","1348414","1560084","1651710","1770192","1803112","1961639","2331308","2279546","2585280","545265","1102455"
"Burundi","","","","","","","","","","","","","","","","","","","","","",""
"Bélgica","10738119","8489007","2341816","2904114","3264582","3340509","3641155","4078094","5878585","4858700","7528586.3042496","8638553.1","9508165.3149454","9521421","10535219","11473055","12545322","13676844","13639487","14279187","3520849.848","5404284.479"
"Benin","77273","46364","","","","","","","","","53012.818181818","58314.1","58314.1","137640","60264","112392","899","","","","",""
"Burkina Faso","143529","100286","53236","54475","61364","66273","73131","77810","80543","79345","160000","133709.77917108","125693.69644491","138996","117420","122590","144950","145049","189545.33687603","185841","70228","112940"
"Bangladesh","1331369","1449980","1536102","1587606","1650276","1634473","1729451","1242865","1224222","1409414","1818901.0188272","2022388.5722157","2195061.6802991","2781708","3051914.7332139","3997815","3815869","4660739.0383111","5677396","6260241","2984121.694","3750753"
"Bulgaria","535246","233963","62798","310952","476277","653703","808451","855229","1073496","798165","801840","932868","973062","1013220","1060147","1063498","1092333","1133069","1022645","832828","443067","41126"
"Bahrein","1382461","1250076","1255713","1850491","2284547","","","","","5215512","6028980","5590998.0406064","5861786.9990069","4626648","5171496","5313756","5220218","5190484","5877003","6440562","1451359","1840268"
"Bahamas","1860623","1625689","1543274","1601347","900000","1020000","1033407","1089636","1088876","979042","967914","1056129.5948594","1048391.0668218","576996","991463.32887981","900028","937476","921470","1830394.8620746","1856546","1272798.762","1065149.134"
"Bosnia y Herzegovina","69142","64993","65643","72864","","","","","56313","79977","56485.161815801","40182.439766754","24874.089632018","15000","36636","7071","","","","5375","1593",""
"Belarús","210899","221714","204908","234273","274185","281877","307403","344290","351165","333252","652142","737599","943081","1159500","1317732","1489035","2057194","2493100","2760168","3208254","1227674","1040730"
"Belice","","","","","","","","","","","143928","179471.41354269","448015.91402667","513175.6","877765","935604","990499","1285642","1297533.2230789","1278187.556","971426.138","670361.821"
"Bermudas","","","","","","","","","","","","","","","","","","","","","",""
"Bolivia","1756608","1557128","1508700","1770774","1824313","1892343","1443165","1744663","1718196","1537032","1781340","2125912.5265979","2206069.7606697","2027888","3563043.5828127","4115271","3678739","4053427.35","4122113","4066959","2627202.201","4311879.56"
"Brasil","31287784","34285574","35889538","32372040","35263795","37661733","40945038","45286990","58763225","67945578","74627064","87860363","94752568","95591641","100403628","102039359","94142377","96395709","102109977","102917546","45405756","61896523"
"Barbados","","","","","","","","","","","","","","","","","","","","","",""
"Brunei Darussalam","863547","1007542","1035795","956133","1079578","977516","1041478","1017028","1075754","999375","1263270","1312935","1044170","1139784","1061148","1150003","1168609","1172201","1234455","1421313","280622","27881"
"Bhután","34425","35114","40859","36365","45456","49092","51056","53609","52805","49056","181537.37171644","226153.12662163","193405","207996","302160","162864","224101","254643","275849","276092","48825","22380"
"Botswana","163909","169526","179041","188842","212951","229987","213587","227624","236182","233515","290195","415864.08440373","415130.02097776","270996","205992","226549","254396","223673","253417","254439","","172017"
"República Centroafricana","77273","46364","","","","","","","","","","","","","","","","","","","",""
"Canadá","41767974","40451914","23323029","35884417","40701307","45229860","46726978","52103547","53718757","52583516","63277409.375339","66078011.954739","70467400.792869","71526725.918431","75528607","80228302","85406425","91404001","91504000","93352000","27620000","24951000"
"Europa Central y del Báltico","11117833","11445703","11808082","14065887","16768232","19040472","20221059","23721701","25261998","24733789","32710131.379004","34477031.594514","32490649.468497","35246300.748668","37875158.183182","39811670","42884394","52125994","62622491","69934611.3","22490703.181","30389422"
"Suiza","17268093","16914823","13295500","10118096","9287315","9662619","10647142","12298456","14352757","14701206","22146864","24866065","26386306.603467","27503416","27923164","27011762","25859918","26732570","28857994","30339654","9009607.2","10988881.272"
"Islas del Canal","","","","","","","","","","","","","","","","","","","","","",""
"Chile","5174876","5315623","4986727","5246787","5463753","5939020","6016649","7190963","8021939","8097314","9269026","10949863","12892856","13806283","14347893","15006762","16362437","17664974","19517185","21197759","8019753","10302876"
"China","61891807","72660653","83671798","86040642","119789024","136721623","158013351","183613132","191001220","229062099","266293020","292160158","318475924","352795296","390878784","436183969","487960477","551234509","611439830","659629070","417255845","440301216"
"Côte d'Ivoire","107979","46364","","","","","","","","","516085","89791.867766357","39485.472201926","234996","237120","642893","667062","808471","825257","748540","322841","569309"
"Camerún","273000","324114","243122","315100","355610","384059","424794","453051","470598","466050","0","171007.2","248027.2","287208","275760","267208","343592","236000","265136","83882","40884","177992"
"Congo, República Democrática del","","95200","","","","","","","","","210913","252408.17955984","471536.20461493","456000","456228","476353","416033","959738","587653.03075283","550457.89262858","277588.159","392102.214"
"Congo, República del","127541","95188","46967","52268","","","","","","","341640.42916581","438178.47040732","703966.42107876","652452","553944","657927","577780","333899","508978.939934","541787.13686072","79620","157784"
"Colombia","8568734","9604390","9424850","9142585","8829094","9984424","10616356","11630594","12338706","12115330","16932435","18768534.770155","22012458.844377","26929238","28675159","30909723","32262658","32504898","33704037","37031843","12273939.724","26167360"
"Comoras","","","","","","","","","","","","","","","","","","","","","",""
"Cabo Verde","263547","242799","236577","252751","560000","690000","753511","793153","807957","776469","570553","620394.75112395","597982.60036822","600000","590304","548908","565810","336718","561944","675482","226645.666","76354.068"
"Costa Rica","877833","737895","675146","749885","901402","953217","943143","1017054","1023665","932581","1697893.8890269","1829514.9470822","1770111.378347","1498996","1427414","1525922","1572605","1822880","1950049","2033146","455830.6","669298"
"Estados pequeos del Caribe","","","","","","","","","","","3153978","3204385.462971","3294989.1834098","2563375.6","3354528.3288798","","","","4006518.2419884","3926365.5510806","2484224.9","1803836.955"
"Cuba","1007193","882309","588700","610957","743256","812781","811559","857213","861352","780484","1578011.7886714","1478595.9591607","1313502.683984","1395072","1135200","1294458","1333078","942785","563540","457130","99838","22359"
"Curacao","","","","","","","","","","","","","","","","","","","","","",""
"Islas Caimán","","","","","","","","","","","","","","","","","","","","","",""
"Chipre","1396076","1503427","1704780","1882981","2013254","1920516","1944138","2071648","2111205","1943949","1583627","1263117","1285976","1211208","688368","23405","224653","711554","401408","395436","104559","103016"
"República Checa","2229216","2565808","2808793","3391474","4219478","4706226","4921600","4869586","4974879","5048360","5145187","4902816","3594882","5186676","5009995","3378028","4048658","5450671","8851291","5446163.2","929888.181","1418032"
"Alemania","57962865","56389365","61889678","72693124","82099657","90788848","99647314","106101747","107941584","103396735","97330734.280759","107042775.79118","105978474.52638","109062321.51578","112353098.59355","117222850","116713587","114160685","109796202.17431","109633750.727","25758450","33073180"
"Djibouti","","","","","","","","","","","","","","","","","","","","","",""
"Dominica","","","","","","","","","","","","","","","","","","","","","",""
"Dinamarca","5922623","6382092","6322432","5886037","6428701","","","","","","","","","","","","","","","","",""
"República Dominicana","","","","","","","","","","","19167","28232.1","28442.05","20004","16128","14463","11903","","","113752","31391","69447"
"Argelia","2997480","3419249","3002232","3292815","3236364","3037298","2899722","2813018","2884506","4370917","3372283","3543663","4082595","4492436.9633442","5021288.9633442","5400896","6093416","6230157","6442442","6752002","1460077","1949936"
"Asia oriental y el Pacífico (excluido altos ingresos)","117475001","131899488","144954360","145986148","202945818","220887277","244449016","277768225","287719256","326293542","430814825.83262","482470567.0603","526045298.37355","579794849.84018","640165915.14125","708798867","790494215","881698293","964324620.0959","1003476407.1326","545598407.498","516080253.789"
"inicial del dividendo demográfico","149713878","160513615","149570435","160293889","190654278","202084384","224730790","245988633","244712190","259076645","370779756.65402","411779408.11394","443984379.68831","473370786.86842","518240248.92588","566264222","621441555","679891167.72031","741133708.20281","734632530.41099","289010892.017","373606823.428"
"Asia oriental y el Pacífico","337766614","351529526","374787907","366358229","429868117","454655578","486160240","523755806","535907588","555699740","726070353.12289","769209920.741","809282604.5114","893899315.83938","965572758.22638","1052102292","1155866926","1266613885","1363722227.0848","1415410517.3106","673223022.999","632631258.508"
"Europa y Asia central (excluido altos ingresos)","19131881","18955710","19211823","20432324","25379444","28757480","31745191","35049600","39056225","44437712","61394191.988931","72357640.503833","83343593.428963","96541595.808988","105754634.00799","119184129","125119242","137449544","146715960.521","144851367.268","57405263.207","88476243.262"
"Europa y Asia central","428305223","427544242","426545437","460194210","506766844","518261374","559653407","607952555","623643998","615350087","712998068.2518","774999479.89954","799109209.94657","830731466.89144","880915331.61651","945271489","997402946","1067441656","1137091439.3497","1181479874.428","384036439.6275","524360548.477"
"Ecuador","1318518","1284922","1184098","1521249","1828303","2011004","2110423","2630759","2926821","2896528","4818305","4714115","4758406.3067717","5157521","5675088","5677816","5099726","5121235","5365261","4827978","1146368.544","1534854"
"Egipto, República Árabe de","4521702","4389163","4526688","4180814","4621310","4888146","4988262","5829044","6688999","6215870","9518106.0132362","7708160.1071122","9081175.1462956","10593780.17744","10278013.113562","11109554","11844962","11748510","12386010","13206889.61","4638192.256","5563387"
"Zona del Euro","260651401","258252629","259641964","289864210","317642184","346114957","376747784","409514461","410733285","403561685","416465001.05146","441148081.65997","439748948.51634","442802171.33378","460185935.95075","496898700","529564099","560783691","584797943.26871","639868656.158","190032931.787","252461520.31"
"Eritrea","","","","","","","","","","","","","","","","53074","66927","102729","89136.815910872","101357.3758656","45104.031",""
"España","39711776","41469789","40380629","42506835","45539952","49855007","53122464","60664991","55213716","49289158","52847712.608323","52736140.925013","48089178.327112","48056735.818","53069339","60564041","66674868","71598374","80706703","88237165.272","26557077.999","43440479.727"
"Estonia","277595","277768","304135","395485","509556","577808","598123","651323","685582","395532","582320.20275315","614933","914519","627588","602880","512389","372274","13103","62802","857","",""
"Etiopía","944595","1027528","1103184","1117329","1403293","1667316","1720306","2290179","2715017","2914056","3347022","4440917.6908399","5001121.8652456","5671501","6274582","7074779","8242114","9566378","11501244","12631216","4940183","7065954"
"Unión Europea","288449342","286388891","287161373","317807082","347767674","359471494","390742949","425646377","427781328","419908189","483874507.22771","515081475.25448","514301800.98483","522944433.08245","548633990.77673","588104162","620961607","657059035","691558405.26871","752764693.96","224581685.7655","300510412.943"
"Frágiles y situaciones de conflicto afectados","13644350","18495379","16191622","13756737","16934120","17404468","19959287","20199039","22723429","22127432","33183814.054483","39379075.226608","38732387.243884","38896500.17336","40338413.273237","39233518","39962744","41551466.05","48929733.440362","48048008.99753","18073886.216","25439426.874"
"Finlandia","6828143","6697556","6415606","6183906","7049416","7075195","7597125","8288683","7916485","7423265","8685772.8683254","9508050","10731828.492592","10467321","10992792","13035848","13754228","12209646","13364839","14610547","3500299","2805555"
"Fiji","586043","612727","715000","972000","836719","870571","932394","960546","946138","1146591","1259009","1276205.48","1225268.5618857","1161936","1243824","1336976","1402765","1557876","1670216","1700293","409104","133708"
"Francia","52581312","50476541","49305864","47258820","48543473","52477178","59537872","61551258","61214656","58318312","60864422.113513","64185339.34113","64683769.024321","63925151","63434263","65039503","65362743","68316473","70188028","71289277","24956343","32000528"
"Islas Feroe","","","","","","","","","","","","","","","","","","","","","",""
"Micronesia (Estados Federados de)","","","","","","","","","","","","","","","","","","","","","",""
"Gabón","446688","373904","365877","385529","430873","465343","508368","535324","545640","524867","243635.52898997","121233.39565811","42729.319471276","0","","137331","77320","","","","",""
"Reino Unido","70436030","70331725","72381196","76388660","86054762","93602879","97544631","101622807","104713553","102464509","101515720.1934","111598546.14123","115419920.56567","118605866","124901676.05268","131512994","143781714","151159067","165388610","142392528","30237827","26631932"
"Georgia","117521","110800","246609","303802","228560","249131","271553","304139","310222","294400","164446","222630","178363","189316","196589","232263","220448","341751","516034","509913","72906","84591"
"Ghana","314335","301135","255630","241111","96444","","","","","","169030.94960614","491583.03444624","691271.96142731","396372","407544","390457","359516","681691","467624","597343","321437","559393"
"Gibraltar","","","","","","","","","","","","","","","","","","","","","",""
"Guinea","","","","","","","","","","","","","","","","","","","","","",""
"Gambia","","","","","","","","","","","0","0","11284","146784","151776","3036","44330","53735","104891.39475506","109542.14508048","",""
"Guinea-Bissau","","","","","","","","","","","","","","","","","","","","","",""
"Guinea Ecuatorial","","","","","","","","","","","25969.382364616","130197.6","316620.85","401712","303024","400758","458222","496322","404301.32801322","425475","138898","31268"
"Grecia","7937434","8430333","7579225","7518932","9276954","9452219","9481314","10206223","9442743","8795133","10352657.531181","9569211.4194176","8785275.4559278","8761116","11152236","11237054","12689082","13852857","15125933.51526","16124738.33","5647917","8726345"
"Granada","","","","","","","","","","","","","","","","","","","","","",""
"Groenlandia","","","","","","","","","","","","","","","","","","","","","",""
"Guatemala","","","","","","","","","","","313892","326146.20615","288013.90082569","78264","69768","93129","111830","155524","145795","107350","25217.454","1766.181"
"Guam","","","","","","","","","1255510","1172372","","","","","","","","","","","",""
"Guyana","73256","47800","","","","","","","","","273160","340267.62320722","247780.34769101","0","0","","","","26069","28697","17990","7512"
"Ingreso alto","1382056652","1336609000","1307644929","1337085928","1485950726","1530895042","1586231538","1664131075","1638468073","1626892732","1848779888.2076","1917406304.6476","1956411146.963","2028636813.0001","2120845506.8609","2246481588","2365329050","2481591870","2605540550.8365","2715403309.2231","929885274.1185","1345746332.068"
"Hong Kong, Región Administrativa Especial","14377973","14064286","15636216","13024791","17892816","20229512","21796158","24133664","25401266","23973030","28347688","30293677","32247332.077683","34644497","37933773","41867157","43683583","45580297","47101822","46469864","5878548","777197"
"Honduras","","","","","","","","","","","501520","423655.32558716","422016.88764492","372972","239124","276689","275587","248964","411989","321243","","271314"
"Países pobres muy endeudados (PPME)","6492929","5967306","","","","","","","","","14165092.226547","17296028.463433","18073364.030063","18079383.818","19361000.32088","20661772","20915140","23844385.43","26411525.914388","27353506.867337","12330289.393","19149959.028"
"Croacia","1072000","1245000","1356000","1582000","1743000","2099000","2148000","1545318","1752603","1679197","1577226","1812519","1872799","1716702","1756070","1782666","1875433","2057804","2093577","2108591","608458","767762"
"Haití","","","","","","","","","","","","","","","","","","","","","23119","23119"
"Hungría","2197521","2023385","2098760","2260849","2546234","2735214","2591666","3133574","3111575","2952885","12477063.176251","13729553.534686","12289555.076428","13926540","16482060","20043787","21399963","26066294","31226848","39803373","14597294","20127200"
"Sólo BIRF","300232596","329761381","333136505","344496771","418837879","454928628","503331945","568136085","599377528","652248785","847345243.38884","945133069.90918","1025679462.9087","1118560621.53","1218054843.417","1336381806","1454795041","1613282378.14","1762073618.0538","1828194540.6501","889070883.383","1016733964.182"
"BIRF y la AIF","323854019","353461238","354836889","366713422","444743421","482971713","533670988","599627079","631333677","683927328","891956142.16443","997808123.77595","1080347426.5604","1174597728.9213","1276673084.4043","1396421827","1517531639","1680834867.7703","1840061201.4496","1904674595.8003","921825835.906","1057614059.294"
"total de la AIF","23621423","23699857","21700384","22216651","25905542","28043085","30339043","31490994","31956149","31678543","44610898.775583","52675053.866776","54667963.651755","56037107.391229","58618240.987387","60040021","62736598","67552489.630311","77987583.3958","76480055.150195","32754952.523","40880095.112"
"mezcla de la AIF","12148066","12976878","10439111","10669835","11971594","13181865","14641094","14980619","15375119","14965530","20918249.429166","24047302.147965","25111538.305823","24611413.687732","25043692.34334","25933086","26940599","25639415","30098587.280618","30424229.350951","12941286.729","16231181.411"
"Indonesia","9916365","12453812","12113452","12221066","26780550","26835524","29867483","30405918","29766093","27421235","59384361.605798","70912258.109048","79405799.80957","81721356","85215879.509739","90095131","99274010","108393123","115154100.909","91323153","37523686.817","33549828"
"Sólo AIF","11473357","10722979","11261273","11546816","13933948","14861220","15697949","16510375","16581030","16713013","23692649.346418","28627751.718811","29556425.345932","31425693.703497","33574548.644047","34106935","35795999","41913074.630311","47888996.115182","46055825.799245","19813665.794","24648913.701"
"Isla de Man","","","","","","","","","","","","","","","","","","","","","",""
"India","17299483","16862737","17633019","19455085","23934074","27879461","40288794","51897450","49877935","54446373","64374253.803896","73996912","72151828.889548","75589071","82718882.88","98927860","119577835","139752424","164035637.545","167499116","68959633","83964797"
"No clasificado","","","","","","","","","","","","","","","","","","","","","",""
"Irlanda","13983022","15450847","19728801","28863657","34748853","42872544","50737809","60099058","69447262","77747207","84784226","89956333.509687","92637189.190393","93408036","98449140","115928738","134065078","153944513","167598633","170161848","54582262","74065210"
"Irán, República Islámica del","8722145","16485326","9891522","16301238","11877705","12708354","13623038","13915755","12029236","13052716","18760850.381485","19113946.162247","17687478.519721","16580818.00521","16825260.830132","13873256","17084581","26858178.78","23029380","21641449.393","12744853.781","13695897.024"
"Iraq","","","","","","","","","","","641129","761778.17435545","784944.25303469","476484","476484","2142554","2019816","1591490.01","4812610","5434292","764661","1620013"
"Islandia","1431818","1357946","1198920","1133775","1332811","1528929","1536157","1720496","1423422","1364651","1851416.8417551","2150527","2400160","2602714","3035882.7791066","4134980","5710834","7242611","7819740.5599824","4656017","903927","1499034"
"Israel","4442967","3967140","3708138","3677879","4968931","4392448","4357151","4662615","4563041","4605452","5084798","5151469","5381980","5565864","5886728","6331198","6866472","6993888","7404373","7068458","1249361","2437207"
"Italia","30418137","31031074","28244627","36345771","35922093","36115764","36709131","37830745","30672048","33194501","32645164","33923370.505106","31072962.155732","27846220","27193939","28603919","29120041","26288001","27243741","27760301","7801490","2449339"
"Jamaica","1922123","1946123","2016000","1838047","2007765","1573785","1526571","1618165","1644056","1380000","0","0","0","46272","76244","92836","136744","151326","180951.272","","",""
"Jordania","1281997","1178058","1299699","1353444","1660235","1737165","2046457","2246212","2355285","2323750","3077036.6960894","3267109.7362049","3438356","3294911","3211795","3065145","3181283","3381677","3383805","3478444","816253","1695302"
"Japón","109123312","107823469","109037841","103988547","101740600","102279015","102845319","99842338","97022471","86896527","109617020.96575","89788818","98907859","107573000","110547000","114128000","117708000","123898000","126387527","130233352","51131122","45410146"
"Kazajstán","461283","500981","756959","1009731","834760","1160286","1283250","1295050","1275624","1192714","3098327","3786453.0639105","4064819.0227233","4785588","4918608","5081632","5007869","6903190","5920110","7656866","5282205","8765001"
"Kenya","1554949","1418183","1599843","1678160","2005473","2424382","2685148","2857464","2880546","2948920","4039583","4508698.0116155","4653459.7351436","4516500","4448530.528178","4569473","4848016","5109576","5905365.1234425","6417534.056","1865768","2459106"
"Kirguistán","240954","192060","174369","205604","245570","225923","219464","274981","204525","309488","375602","526018.01247642","494640.42682199","771165","712284","967629","1015750","1122951","1175000.704","867935","191774","171347.337"
"Camboya","","","124847","164515","162132","168810","256160","307782","211281","183503","277725.05429723","499981.51796255","508688.50938602","615123.32800372","1071179","1103880","1047394","1305297","1411059","1429503.7304639","609564.382","50217.459"
"Kiribati","","","","","","","","","","","","","","","","","","66567","66567","65846.852","56299.058","46390.423"
"Saint Kitts y Nevis","","","","","","","","","","","","","","","","","","","","","",""
"Corea, República de","34331368","33710340","34831814","33372577","34511494","33888328","34842655","36655313","36077655","34168590","36987982","39911749.589812","39969577.015717","54530105","58289180","66093149","76859538","82818983","88157579","92434079","30033310","34020088"
"Kuwait","2112523","2084574","2299218","2185990","2496441","2433213","2627870","2659769","2523966","2597076","4563082","3722729.502639","3481039","3244805","3530851","3752995","4069935","5731748","6464847","7385299","1823594","2182888"
"América Latina y el Caribe (excluido altos ingresos)","80663834","80705199","80916912","79669134","85640345","91319432","93787469","101368252","113509159","117582038","152559808.38592","167674704.81728","183917537.24421","197300515.47234","209830189.40081","225374213","226438094","237473414.35","253791824.76708","264853828.556","107737783.66","167162390.562"
"República Democrática Popular Lao","210847","210847","219598","218652","271706","293442","326730","328326","323401","302596","443778","532707","877949.88137226","1476528","1310124","1181188","1220201","1196041","1009414","979307","386950","157293"
"Líbano","805803","815862","874152","935213","1086730","1076258","968820","1074219","1067774","1308382","1893359","2029610","2148669","2241480","2419476","2591297","2647258","2879528","2981937","3164358","1077762","1603134"
"Liberia","","","","","","","","","","","","","","","","","","","","","",""
"Libia","600734","582712","559404","626532","850185","0","1151785","1204107","1213854","1147234","2928705.6798502","2284066.501168","1398125.1342956","2744844","2391856","1430460","1283181","1186424","1442576","1367458","715300.42","968476.425"
"Santa Lucía","","","","","","","","","","","","","","","","","","","","","",""
